,Target,Disclosure,Available Business Disclosures
25,1.4,Former EU23,"Programs, including those in partnership with government, to improve or maintain access to electricity
and customer support services"
26,1.4,Former EU24,"Practices to address language, cultural, low literacy and disability related barriers to access and safely
use electricity and customer support services"
27,1.4,Former FS16,Initiatives to enhance financial literacy by type of beneficiary
28,1.4,MM5,"Total number of operations taking place in or adjacent to indigenous peoples’ territories, and number
and percentage of operations or sites where there are formal agreements with indigenous peoples’
communities"
29,1.4,MM6,"Number and description of significant disputes relating to land use, customary rights of local
communities and indigenous peoples"
30,1.4,MM7,"The extent to which grievance mechanisms were used to resolve disputes relating to land use,
customary rights of local communities and indigenous peoples, and the outcomes"
31,1.4,MM8,"Number (and percentage) of company operating sites where artisanal and small-scale mining (asm)
takes place on, or adjacent to, the site; the associated risks and the actions taken to manage and
mitigate these risks"
32,1.4,MM9,"Sites where resettlements took place, the number of households resettled in each, and how their
livelihoods were affected in the process"
33,1.4,OG10,Number and description of significant disputes with local communities and indigenous peoples
34,1.4,OG11,"Number of sites that have been decommissioned and sites that are in the process of being
decommissioned"
35,1.4,OG12,"Operations where involuntary resettlement took place, the number of households resettled in each and
how their livelihoods were affected in the process"
36,1.4,OG14,Volume of biofuels produced and purchased meeting sustainability criteria
37,1.4,OG9,"Operations where indigenous communities are present or affected by activities and where specific
engagement strategies are in place"
38,1.4,former EU19,"Stakeholder participation in decision making processes related to energy planning and infrastructure
development"
39,1.5,Former EU21,"Contingency planning measures, disaster/emergency management plan and training programs, and
recovery/restoration plans"
40,10.2,CRE8,"Type and number of sustainability certification, rating and labeling schemes for new construction,
management, occupation and redevelopment"
41,10.2,EO3,"Significant environmental and socio-economic impacts of transporting attendees to and from the event,
and initiatives taken to address the impacts"
42,10.2,EO5,Type and impacts of initiatives to create a socially inclusive event
43,10.2,EO6,Type and impacts of initiatives to create an accessible environment
44,10.2,FS13,Access points in low-populated or economically disadvantaged areas by type
45,10.2,FS14,Initiatives to improve access to financial services for disadvantaged people
46,10.2,FS7,"Monetary value of products and services designed to deliver a specific social benefit for each business
line broken down by purpose"
47,10.2,Former FS16,Initiatives to enhance financial literacy by type of beneficiary
48,10.2,M4,"Actions taken to improve performance in relation to content dissemination issues (accessibility and
protection of vulnerable audiences and informed decision making) and results obtained"
49,10.2,M5,"Number and nature of responses (feedback/complaints) related to content dissemination, including
protection of vulnerable audiences and informed decision making and accessibility, and processes for
addressing these responses"
50,10.3,102-8-a,"Total number of employees by employment contract (permanent and temporary), by gender.
Total number of employees by employment contract (permanent and temporary), by gender."
51,10.3,102-8-c,"Total number of employees by employment type (full-time and part-time), by gender.
Total number of employees by employment type (full-time and part-time), by gender."
52,10.3,401-1,"a.  Total number and rate of new employee hires during the reporting period, by age group, gender and
region.
b.   Total number and rate of employee turnover during the reporting period, by age group, gender and
region."
53,10.3,404-1-a,"Average hours of training that the organization’s employees have undertaken during the reporting
period, by:
i.  Gender;
ii.  Employee category."
54,10.3,404-3-a,"Percentage of total employees by gender and by employee category who received a regular
performance and career development review during the reporting period."
55,10.3,405-2-a,"Ratio of the basic salary and remuneration of women to men for each employee category, by significant
locations of operation."
56,10.4,207-1,"a.  A description of the approach to tax, including:
i.  whether the organization has a tax strategy and, if so, a link to this strategy if publicly available;
ii.  the governance body or executive-level position within the organization that formally reviews
and approves the tax strategy, and the frequency of this review;
iii.   the approach to regulatory compliance;
iv.  how the approach to tax is linked to the business and sustainable development strategies of the
organization."
57,10.4,207-2,"a.   A description of the tax governance and control framework, including:
i.   the governance body or executive-level position within the organization accountable for
compliance with the tax strategy;
ii.   how the approach to tax is embedded within the organization;
iii.  the approach to tax risks, including how risks are identified, managed, and monitored;
iv.   how compliance with the tax governance and control framework is evaluated.
b.   A description of the mechanisms for reporting concerns about unethical or unlawful behavior
and the organization’s integrity in relation to tax.
c.   A description of the assurance process for disclosures on tax and, if applicable, a reference to
the assurance report, statement, or opinion."
58,10.4,207-3,"a.  A description of the approach to stakeholder engagement and management of stakeholder
concerns related to tax, including:
i.  the approach to engagement with tax authorities;
ii.   the approach to public policy advocacy on tax;
iii.  the processes for collecting and considering the views and concerns of stakeholders, including
external stakeholders."
59,10.4,207-4,"a.   All tax jurisdictions where the entities included in the organization’s audited consolidated
financial statements, or in the financial information filed on public record, are resident for tax
purposes.
b.   For each tax jurisdiction reported in Disclosure 207-4-a:
i.  Names of the resident entities;
ii.  Primary activities of the organization;
iii.  Number of employees, and the basis of calculation of this number;
iv.  Revenues from third-party sales;
v.  Revenues from intra-group transactions with other tax jurisdictions;
vi.  Profit/loss before tax;
vii.  Tangible assets other than cash and cash equivalents;
viii.  Corporate income tax paid on a cash basis;
ix.  Corporate income tax accrued on profit/loss;
x.  Reasons for the difference between corporate income tax accrued on profit/loss and the tax due
if the statutory tax rate is applied to profit/loss before tax.
c. The time period covered by the information reported in Disclosure 207-4"
60,10.5,FS10,"Percentage and number of companies held in the institution's portfolio with which the reporting
organisation has interacted on environmental or social issues"
61,10.5,FS11,Percentage of assets subject to positive and negative environmental or social screening
62,10.5,Former FS1,Policies with specific environmental and social components applied to business lines
63,10.5,Former FS15,Policies for the fair design and sale of financial products and services
64,10.5,Former FS2,Procedures for assessing and screening environmental and social risks in business lines
65,10.5,Former FS3,"Processes for monitoring clients' implementation of and compliance with environmental and social
requirements included in agreements or transactions"
66,10.5,Former FS4,"Process(es) for improving staff competency to implement the environmental and social policies and
procedures as applied to business lines"
67,10.5,Former FS5,"Interaction with clients/investees/business partners regarding environmental and social risks and
opportunities"
68,10.5,Former FS9,"Coverage and frequency of audits to assess implementation of environmental and social policies and
risk assessment procedures"
69,11.1,FS7,"Monetary value of products and services designed to deliver a specific social benefit for each business
line broken down by purpose"
70,11.2,203-1,"a.  Extent of development of significant infrastructure investments and services supported.
b.  Current or expected impacts on communities and local economies, including positive and negative
impacts where relevant.
c.   Whether these investments and services are commercial, in-kind, or pro bono engagements."
71,11.2,EO13,"Number, type and impact of physical and technological legacies"
72,11.2,EO2,"Modes of transport taken by attendees as a percentage of total transportation, and initiatives to
encourage the use of sustainable transport options"
73,11.2,EO3,"Significant environmental and socio-economic impacts of transporting attendees to and from the event,
and initiatives taken to address the impacts"
74,11.3,AO7,Number and percentage change of people residing in areas affected by noise
75,11.3,CRE8,"Type and number of sustainability certification, rating and labeling schemes for new construction,
management, occupation and redevelopment"
76,11.4,Former EU20,Approach to managing the impacts of displacement
77,11.4,M3,"Actions taken to improve adherence to content creation values, and results obtained"
78,11.4,OG12,"Operations where involuntary resettlement took place, the number of households resettled in each and
how their livelihoods were affected in the process"
79,11.5,Former EU21,"Contingency planning measures, disaster/emergency management plan and training programs, and
recovery/restoration plans"
80,11.5,OG13,"Number of process safety events, by business activity"
81,11.6,306-1,"a.  For the organization’s significant actual and potential waste-related impacts, a description of:
i.  the inputs, activities, and outputs that lead or could lead to these impacts;
ii.  whether these impacts relate to waste generated in the organization’s own activities or to waste
generated upstream or downstream in its value chain."
82,11.6,306-2-a,"Actions, including circularity measures, taken to prevent waste generation in the organization’s own
activities and upstream and downstream in its value chain, and to manage significant impacts from
waste generated."
83,11.6,306-2-b,"If the waste generated by the organization in its own activities is managed by a third party, a description
of the processes used to determine whether the third party manages the waste in line with contractual or
legislative obligations."
84,11.6,306-2-c,The processes used to collect and monitor waste-related data.
85,11.6,306-3-a,"Total weight of waste diverted from disposal in metric tons, and a breakdown of this total by composition
of the waste."
86,11.6,306-4-a,"Total weight of waste diverted from disposal in metric tons, and a breakdown of this total by composition
of the waste."
87,11.6,306-4-b,"Total weight of hazardous waste diverted from disposal in metric tons, and a breakdown of this total by
the following recovery operations:
i.  Preparation for reuse;
ii.  Recycling;
iii.  Other recovery operations."
88,11.6,306-4-c,"Total weight of non-hazardous waste diverted from disposal in metric tons, and a breakdown of this total
by the following recovery operations:
i.  Preparation for reuse;
ii.  Recycling;
iii.  Other recovery operations."
89,11.6,306-4-d,"A breakdown of the total weight in metric tons of hazardous waste and of non-hazardous waste diverted
from disposal:
i. onsite;
ii.  offsite."
90,11.6,306-5-a,"Total weight of waste directed to disposal in metric tons, and a breakdown of this total by composition of
the waste."
91,11.6,306-5-b,"Total weight of hazardous waste directed to disposal in metric tons, and a breakdown of this total by the
following disposal operations:
i.  Incineration (with energy recovery);
ii.  Incineration (without energy recovery);
iii.  Landfilling;
iv.  Other disposal operations."
92,11.6,306-5-c,"Total weight of non-hazardous waste directed to disposal in metric tons, and a breakdown of this total by
the following disposal operations:
i.  Incineration (with energy recovery);
ii.  Incineration (without energy recovery);
iii.  Landfilling;
iv.  Other disposal operations."
93,11.6,306-5-d,"For each disposal operation listed in Disclosures 306-5-b and 306-5-c, a breakdown of the total weight in
metric tons of hazardous waste and of non-hazardous waste directed to disposal:
i.  onsite;
ii.  offsite."
94,11.7,EO13,"Number, type and impact of physical and technological legacies"
95,12.2,301-1-a,"Total weight or volume of materials that are used to produce and package the organization’s primary
products and services during the reporting period, by:
i.  Non-renewable materials used;
ii.  Renewable materials used."
96,12.2,301-2-a,"Percentage of recycled input materials used to manufacture the organization’s primary products and
services."
97,12.2,301-3-a,Percentage of reclaimed products and their packaging materials for each product category.
98,12.2,302-1,"a.  Total fuel consumption within the organization from non-renewable sources, in joules or multiples,
and including fuel types used.
b.   Total fuel consumption within the organization from renewable sources, in joules or multiples, and
including fuel types used.
c.  In joules, watt-hours or multiples, the total:
i.  electricity consumption
ii.  heating consumption
iii.  cooling consumption
iv.  steam consumption
d.   In joules, watt-hours or multiples, the total:
i.  electricity sold
ii.  heating sold
iii.  cooling sold
iv.  steam sold
e.  Total energy consumption within the organization, in joules or multiples.
f.   Standards, methodologies, assumptions, and/or calculation tools used.
g.  Source of the conversion factors used."
99,12.2,302-2-a,"Energy consumption outside of the organization, in joules or multiples."
100,12.2,302-3-a,Energy intensity ratio for the organization.
101,12.2,302-4-a,"Amount of reductions in energy consumption achieved as a direct result of conservation and efficiency
initiatives, in joules or multiples."
102,12.2,302-5-a,"Reductions in energy requirements of sold products and services achieved during the reporting period,
in joules or multiples."
103,12.2,CRE1,Building energy intensity
104,12.2,CRE2,Building water intensity
105,12.2,CRE8,"Type and number of sustainability certification, rating and labeling schemes for new construction,
management, occupation and redevelopment"
106,12.2,EO9,Type and sustainability performance of sourcing initiatives
107,12.2,EU11,Average generation efficiency of thermal plants by energy source and by regulatory regime
108,12.2,EU12,Transmission and distribution losses as a percentage of total energy
109,12.2,FP2,"Percentage of purchased volume which is verified as being in accordance with credible, internationally
recognized responsible production standards, broken down by standard"
110,12.2,Former,Programs and progress relating to materials stewardship
111,12.2,Former EU7,"Demand-side management programs including residential, commercial, institutional and industrial
programs"
112,12.2,MM11,Programs and progress relating to materials stewardship
113,12.2,OG5,Volume and disposal of formation or produced water
114,12.2,OG6,Volume of flared and vented hydrocarbon
115,12.4,303-1-a,"A description of how the organization interacts with water, including how and where water is withdrawn,
consumed, and discharged, and the water-related impacts caused or contributed to, or directly linked
to the organization’s activities, products or services by a business relationship (e.g., impacts caused by
runoff)."
116,12.4,303-1-c,"A description of how water-related impacts are addressed, including how the organization works with
stakeholders to steward water as a shared resource, and how it engages with suppliers or customers
with significant water-related impacts."
117,12.4,305-1,"a.  Gross direct (Scope 1) GHG emissions in metric tons of CO2 equivalent.
b.  Gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, or all.
c.  Biogenic CO2 emissions in metric tons of CO2 equivalent."
118,12.4,305-2,"a.  Gross location-based energy indirect (Scope 2) GHG emissions in metric tons of CO2 equivalent.
b.  If applicable, gross market-based energy indirect (Scope 2) GHG emissions in metric tons of CO2
equivalent.
c.  If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3,
or all."
119,12.4,305-3,"a.  Gross other indirect (Scope 3) GHG emissions in metric tons of CO2 equivalent.
b.  If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3,
or all.
c.  Biogenic CO2 emissions in metric tons of CO2 equivalent.
d.   Other indirect (Scope 3) GHG emissions categories and activities included in the calculation."
120,12.4,305-6-a,"Production, imports, and exports of ODS in metric tons of CFC-11 (trichlorofluoromethane) equivalent."
121,12.4,305-7,"a. Significant air emissions, in kilograms or multiples, for each of the following:
i.  NOX
ii.  SOX
iii.  Persistent organic pollutants (POP)
iv.  Volatile organic compounds (VOC)
v.  Hazardous air pollutants (HAP)
vi.  Particulate matter (PM)
vii.  Other standard categories of air emissions identified in relevant regulations
b.  Source of the emission factors used.
c.  Standards, methodologies, assumptions, and/or calculation tools used."
122,12.4,306-1,"a.  For the organization’s significant actual and potential waste-related impacts, a description of:
i.  the inputs, activities, and outputs that lead or could lead to these impacts;
ii.  whether these impacts relate to waste generated in the organization’s own activities or to waste
generated upstream or downstream in its value chain."
123,12.4,306-2-a,"Total weight of hazardous waste, with a breakdown by the following disposal methods where applicable:
i.  Reuse
ii.  Recycling
iii.  Composting
iv.  Recovery, including energy recovery
v.  Incineration (mass burn)
vi.  Deep well injection
vii.  Landfill
viii.  On-site storage
ix.  Other (to be specified by the organization)
Actions, including circularity measures, taken to prevent waste generation in the organization’s own
activities and upstream and downstream in its value chain, and to manage significant impacts from
waste generated."
124,12.4,306-2-b,"Total weight of non-hazardous waste, with a breakdown by the following disposal methods where
applicable:
i.  Reuse
i.  Recycling
ii.  Composting
iii.  Recovery, including energy recovery
iv.  Incineration (mass burn)
v.  Deep well injection
vi.  Landfill
vii.  On-site storage
viii.  Other (to be specified by the organization)
If the waste generated by the organization in its own activities is managed by a third party, a description
of the processes used to determine whether the third party manages the waste in line with contractual or
legislative obligations."
125,12.4,306-2-c,The processes used to collect and monitor waste-related data.
126,12.4,306-3-a,"Total number and total volume of recorded significant spills.
Total weight of waste diverted from disposal in metric tons, and a breakdown of this total by composition
of the waste."
127,12.4,306-3-b,"The following additional information for each spill that was reported in the organization’s financial
statements:
i.  Location of spill;
ii.  Volume of spill;
iii.  Material of spill, categorized by: oil spills (soil or water surfaces), fuel spills (soil or water
surfaces), spills of wastes (soil or water surfaces), spills of chemicals (mostly soil or water
surfaces), and other (to be specified by the organization)."
128,12.4,306-3-c,Impacts of significant spills.
129,12.4,306-4-a,"Total weight for each of the following:
i.  Hazardous waste transported
ii.  Hazardous waste imported
iii.  Hazardous waste exported
iv.  Hazardous waste treated
Total weight of waste diverted from disposal in metric tons, and a breakdown of this total by composition
of the waste."
130,12.4,306-4-b,"Percentage of hazardous waste shipped internationally.
Total weight of hazardous waste diverted from disposal in metric tons, and a breakdown of this total by
the following recovery operations:
i.  Preparation for reuse;
ii.  Recycling;
iii.  Other recovery operations."
131,12.4,306-4-c,"Total weight of non-hazardous waste diverted from disposal in metric tons, and a breakdown of this total
by the following recovery operations:
i.  Preparation for reuse;
ii.  Recycling;
iii.  Other recovery operations."
132,12.4,306-4-d,"A breakdown of the total weight in metric tons of hazardous waste and of non-hazardous waste diverted
from disposal:
i.  onsite;
ii.  offsite."
133,12.4,306-5-a,"Total weight of waste directed to disposal in metric tons, and a breakdown of this total by composition of
the waste."
134,12.4,306-5-b,"Total weight of hazardous waste directed to disposal in metric tons, and a breakdown of this total by the
following disposal operations:
i.  Incineration (with energy recovery);
ii.  Incineration (without energy recovery);
iii.  Landfilling;
iv.  Other disposal operations."
135,12.4,306-5-c,"Total weight of non-hazardous waste directed to disposal in metric tons, and a breakdown of this total by
the following disposal operations:
i.  Incineration (with energy recovery);
ii.  Incineration (without energy recovery);
iii.  Landfilling;
iv.  Other disposal operations."
136,12.4,306-5-d,"For each disposal operation listed in Disclosures 306-5-b and 306-5-c, a breakdown of the total weight in
metric tons of hazardous waste and of non-hazardous waste directed to disposal:
i.  onsite;
ii.  offsite."
137,12.4,AO4,Quality of storm water by applicable regulatory standards
138,12.4,AO5,"Ambient air quality levels according to pollutant concentrations in microgram per cubic meter (μg/m3) or
parts per million (ppm) by regulatory regime"
139,12.4,AO6,Aircraft and pavement de-icing/anti-icing fluid used and treated by m3 and/or metric tonnes
140,12.4,CRE5,"Land remediated and in need of remediation for the existing or intended land use, according to
applicable legal designations"
141,12.4,Former EU9,Provisions for decommissioning of nuclear power sites
142,12.4,MM1,"Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or
rehabilitated"
143,12.4,MM3,"Total amounts of overburden, rock, tailings, and sludges and their associated risks"
144,12.4,MM8,"Number (and percentage) of company operating sites where artisanal and small-scale mining (ASM)
takes place on, or adjacent to, the site; the associated risks and the actions taken to manage and
mitigate these risks"
145,12.4,OG5,Volume and disposal of formation or produced water
146,12.4,OG6,Volume of flared and vented hydrocarbon
147,12.4,OG7,Amount of drilling waste (drill mud and cuttings) and strategies for treatment and disposal
148,12.4,OG8,"Benzene, lead and sulfur content in fuels"
149,12.5,301-2-a,"Percentage of recycled input materials used to manufacture the organization’s primary products and
services."
150,12.5,301-3-a,Percentage of reclaimed products and their packaging materials for each product category.
151,12.5,306-1,"a.  For the organization’s significant actual and potential waste-related impacts, a description of:
i.  the inputs, activities, and outputs that lead or could lead to these impacts;
ii.   whether these impacts relate to waste generated in the organization’s own activities or to waste
generated upstream or downstream in its value chain."
152,12.5,306-2-a,"Total weight of hazardous waste, with a breakdown by the following disposal methods where applicable:
i.  Reuse
ii.  Recycling
iii.  Composting
iv.  Recovery, including energy recovery
v.  Incineration (mass burn)
vi.  Deep well injection
vii.  Landfill
viii.  On-site storage
ix.  Other (to be specified by the organization)
Actions, including circularity measures, taken to prevent waste generation in the organization’s own
activities and upstream and downstream in its value chain, and to manage significant impacts from
waste generated."
153,12.5,306-2-b,"Total weight of non-hazardous waste, with a breakdown by the following disposal methods
where applicable:
i.  Reuse
ii.  Recycling
iii.  Composting
iv.  Recovery, including energy recovery
v.  Incineration (mass burn)
vi.  Deep well injection
vii.  Landfill
viii.  On-site storage
ix.  Other (to be specified by the organization)
If the waste generated by the organization in its own activities is managed by a third party, a description
of the processes used to determine whether the third party manages the waste in line with contractual or
legislative obligations."
154,12.5,306-2-c,The processes used to collect and monitor waste-related data.
155,12.5,306-3-a,"Total weight of waste diverted from disposal in metric tons, and a breakdown of this total by composition
of the waste."
156,12.5,306-4-a,"Total weight of waste diverted from disposal in metric tons, and a breakdown of this total by composition
of the waste."
157,12.5,306-4-b,"Total weight of hazardous waste diverted from disposal in metric tons, and a breakdown of this total by
the following recovery operations:
i.  Preparation for reuse;
ii.  Recycling;
iii.  Other recovery operations."
158,12.5,306-4-c,"Total weight of non-hazardous waste diverted from disposal in metric tons, and a breakdown of this total
by the following recovery operations:
i.  Preparation for reuse;
ii.  Recycling;
iii.  Other recovery operations."
159,12.5,306-4-d,"A breakdown of the total weight in metric tons of hazardous waste and of non-hazardous waste diverted
from disposal:
i.  onsite;
ii.  offsite."
160,12.5,306-5-a,"Total weight of waste directed to disposal in metric tons, and a breakdown of this total by composition of
the waste."
161,12.5,306-5-b,"Total weight of hazardous waste directed to disposal in metric tons, and a breakdown of this total by the
following disposal operations:
i.  Incineration (with energy recovery);
ii.  Incineration (without energy recovery);
iii.  Landfilling;
iv.  Other disposal operations."
162,12.5,306-5-c,"Total weight of non-hazardous waste directed to disposal in metric tons, and a breakdown of this total by
the following disposal operations:
i.  Incineration (with energy recovery);
ii.  Incineration (without energy recovery);
iii.  Landfilling;
iv.  Other disposal operations."
163,12.5,306-5-d,"For each disposal operation listed in Disclosures 306-5-b and 306-5-c, a breakdown of the total weight in
metric tons of hazardous waste and of non-hazardous waste directed to disposal:
i.  onsite;
ii.  offsite."
164,12.5,AO6,Aircraft and pavement de-icing/anti-icing fluid used and treated by m3 and/or metric tonnes
165,12.5,EO9,Type and sustainability performance of sourcing initiatives
166,12.5,Former,Programs and progress relating to materials stewardship
167,12.5,MM11,Programs and progress relating to materials stewardship
168,12.5,MM3,"Total amounts of overburden, rock, tailings, and sludges and their associated risks"
169,12.5,OG6,Volume of flared and vented hydrocarbon
170,12.5,OG7,Amount of drilling waste (drill mud and cuttings) and strategies for treatment and disposal
171,12.8,417-1,"a.  Whether each of the following types of information is required by the organization’s procedures for
product and service information and labeling:
i.   The sourcing of components of the product or service;
ii.  Content, particularly with regard to substances that might produce an environmental or social
impact;
iii.   Safe use of the product or service;
iv.  Disposal of the product and environmental or social impacts;
v.   Other (explain).
b.   Percentage of significant product or service categories covered by and assessed for compliance with
such procedures."
172,13.1,201-2-a,"Risks and opportunities posed by climate change that have the potential to generate substantive
changes in operations, revenue, or expenditure, including:
i.   A description of the risk or opportunity and its classification as either physical, regulatory, or
other;
ii.  A description of the impact associated with the risk or opportunity;
iii.  The financial implications of the risk or opportunity before action is taken;
iv.  The methods used to manage the risk or opportunity;
v.   The costs of actions taken to manage the risk or opportunity."
173,13.1,302-1,"a.   Total fuel consumption within the organization from non-renewable sources, in joules or multiples,
and including fuel types used.
b.  Total fuel consumption within the organization from renewable sources, in joules or multiples, and
including fuel types used.
c.  In joules, watt-hours or multiples, the total:
i.   electricity consumption
ii.  heating consumption
iii.  cooling consumption
iv.  steam consumption
d.  In joules, watt-hours or multiples, the total:
i.  electricity sold
ii.  heating sold
iii.   cooling sold
iv.   steam sold
e.   Total energy consumption within the organization, in joules or multiples.
f.   Standards, methodologies, assumptions, and/or calculation tools used.
g.   Source of the conversion factors used."
174,13.1,302-2-a,"Energy consumption outside of the organization, in joules or multiples."
175,13.1,302-3-a,Energy intensity ratio for the organization.
176,13.1,302-4-a,"Amount of reductions in energy consumption achieved as a direct result of conservation and efficiency
initiatives, in joules or multiples."
177,13.1,302-5-a,"Reductions in energy requirements of sold products and services achieved during the reporting period,
in joules or multiples."
178,13.1,305-1,"a.   Gross direct (Scope 1) GHG emissions in metric tons of CO2 equivalent.
b.   Gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, or all.
c.  Biogenic CO2 emissions in metric tons of CO2 equivalent."
179,13.1,305-2,"a. Gross location-based energy indirect (Scope 2) GHG emissions in metric tons of CO2 equivalent.
b. If applicable, gross market-based energy indirect (Scope 2) GHG emissions in metric tons of CO2
equivalent.
c. If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, or
all."
